id;nome;departamento;cargo;salario;data_admissao;email;ativo;anos_empresa;faixa_salarial
72;Renan Barros;OPERAÇÕES;Coordenador;8579.03;2018-10-24;renan.barros@naragroup.com;SIM;7;Sênior
9;Camila Pereira;VENDAS;Estagiário;12189.83;2024-04-09;camila.pereira@naragroup.com;SIM;2;Sênior
5;Juliana Martins;MARKETING;Analista;7102.7;2023-12-01;juliana.martins@naragroup.com;SIM;2;Pleno
36;Fábio Araújo;MARKETING;Assistente;4119.05;2019-02-15;fábio.araújo@naragroup.com;SIM;7;Pleno
21;Letícia Moreira;FINANCEIRO;Gerente;5704.15;2020-07-01;letícia.moreira@naragroup.com;SIM;6;Pleno
33;Aline Ferreira;MARKETING;Estagiário;12712.17;2024-10-17;aline.ferreira@naragroup.com;NÃO;1;Sênior
39;Débora Vieira;VENDAS;Coordenador;9230.96;2022-04-17;débora.vieira@naragroup.com;SIM;4;Sênior
68;Wellington Sousa;RH;Gerente;4640.38;2024-06-04;wellington.sousa@naragroup.com;NÃO;2;Pleno
35;Sabrina Melo;TI;Assistente;6484.56;2024-04-01;sabrina.melo@naragroup.com;SIM;2;Pleno
10;Lucas Ribeiro;OPERAÇÕES;Analista;2982.2;2019-12-03;sem_email;SIM;6;Júnior
83;Monique Rocha;RH;Estagiário;6155.78;2019-04-23;monique.rocha@naragroup.com;SIM;7;Pleno
87;Raíssa Correia;FINANCEIRO;Estagiário;1738.96;2023-07-01;raíssa.correia@naragroup.com;SIM;3;Júnior
40;Sérgio Machado;FINANCEIRO;Estagiário;13505.09;2023-05-01;sérgio.machado@naragroup.com;NÃO;3;Sênior
54;Nelson Freire;VENDAS;Estagiário;12209.29;2020-08-01;nelson.freire@naragroup.com;SIM;6;Sênior
23;Natália Barbosa;OPERAÇÕES;Coordenador;5501.09;2018-11-25;natália.barbosa@naragroup.com;SIM;7;Pleno
88;Alexandre Freitas;FINANCEIRO;Diretor;14951.03;2024-10-01;alexandre.freitas@naragroup.com;SIM;1;Sênior
18;Eduardo Freitas;TI;Assistente;1650.5;2018-07-15;eduardo.freitas@naragroup.com;NÃO;8;Júnior
24;Vinícius Lopes;RH;Diretor;5455.9;2021-08-06;vinícius.lopes@naragroup.com;SIM;5;Pleno
56;Igor Santana;FINANCEIRO;Assistente;5730.85;2018-07-01;igor.santana@naragroup.com;SIM;8;Pleno
2;Carlos Souza;TI;Estagiário;6671.41;2024-01-16;carlos.souza@naragroup.com;SIM;2;Pleno
14;Felipe Gomes;RH;Analista;3267.51;2024-09-01;felipe.gomes@naragroup.com;NÃO;2;Pleno
86;Denilson Alves;FINANCEIRO;Analista;9625.97;2020-08-12;denilson.alves@naragroup.com;SIM;6;Sênior
27;Tatiane Cunha;OPERAÇÕES;Gerente;6627.63;2020-03-20;tatiane.cunha@naragroup.com;SIM;6;Pleno
28;Marcelo Monteiro;OPERAÇÕES;Estagiário;5487.92;2020-03-01;marcelo.monteiro@naragroup.com;SIM;6;Pleno
42;Willian Duarte;RH;Analista;6032.64;2018-01-01;willian.duarte@naragroup.com;SIM;8;Pleno
16;Rodrigo Batista;VENDAS;Gerente;13975.81;2024-04-16;rodrigo.batista@naragroup.com;SIM;2;Sênior
3;Fernanda Costa;FINANCEIRO;Coordenador;11250.05;2024-07-08;fernanda.costa@naragroup.com;SIM;2;Sênior
75;Graciela Silva;VENDAS;Estagiário;4941.37;2024-06-01;graciela.silva@naragroup.com;SIM;2;Pleno
