id;motorista;cidade_origem;cidade_destino;distancia_km;peso_carga_kg;data_entrega;status;valor_frete
44;Sandro Costa;Rio de Janeiro;Goiânia;2468.3;2351.9;2022-05-03;Em Transito;5259.77
71;Getúlio Leal;Belo Horizonte;Curitiba;984.8;2669.0;2022-10-28;cancelado;7151.78
5;Getúlio Leal;Florianópolis;Porto Alegre;364.4 km;238.5;29/12/2024;Em Transito;6696.96
99;  Sandro Costa ;Belém;São Paulo;1392.9;2679.9;2022-10-19;cancelado;4260.5
69;Laércio Ribeiro;Recife; Goiânia  ;2246.6;1051.6;Apr-2023;cancelado ;6348.27
77;Ubiratan Melo;Recife;Belo Horizonte;;3244.0;2022-12-18;EM TRÂNSITO;2607.96
40;Laércio Ribeiro;Manaus;Natal;0;4141.1;Sep-2023;entregue;839.2
50;Benedito Silva;São Paulo;Curitiba;263.3;88.4;2022-06-29;entregue;690.56
73;Valmir Souza;Campo Grande;Belém;1209.3;4318.8;Nov-2023;cancelado;7193.01
17;Moacir Gomes;Rio de Janeiro;Goiânia;188.5;172.6;May-2023;CANCELADO;6810.39
26;Ivan Correia;Recife;Natal;433.9;1229.9;2024-04-14;em trânsito ;783.66
51;José Santos;Manaus;Vitória;1959.1;878.9;Feb-2024;ENTREGUE;3512.57
4;  Tiago Rocha ;Palmas;Florianópolis;1415.6;3645.2;29/12/2024;Entregue;278.86
62;Yuri Nunes;Florianópolis; Recife  ;563.9;1398.2;Mar-2023;entregado;5892.93
1;Paulo Vieira;Palmas;Curitiba;842.9;4828.9;23/03/2023;CANCELADO;2778.01
8;Flávio Braga;Cuiabá;Vitória;962.9;3211.2;12/02/2024;entregado;7360.11
84;Paulo Vieira;Teresina;Cuiabá;426.3;826.3;31/08/2024;entregado;3862.54
92;Valmir Souza;Macapá;Curitiba;0;4883.7;20/07/2023;Entregue ;1208.86
22;Yuri Nunes;Vitória;Florianópolis;1032.7;4422.3;2024-02-07;Entregue;1372.73
97;Ivan Correia;Belo Horizonte; Campo Grande  ;2205.3;1215.9;2024-11-05;Entregue ;3711.82
32;  Yuri Nunes ;Rio de Janeiro;Recife;359.7;3919.1;May-2024;Entregue;1036.89
95;Yuri Nunes;Natal;Fortaleza;;210.9;09/07/2022;CANCELADO;3515.57
12;Sandro Costa;Manaus;Goiânia;1113.8;1925.6;2023-12-09;cancelado ;1943.51
93;  Yuri Nunes ;Rio de Janeiro;Recife;359.7;3919.1;May-2024;Entregue;1036.89
46;  Haroldo Campos ;Belo Horizonte;Macapá;481.1;3189.1;30/01/2023;cancelado ;3168.07
25;  Kléber Moura ;Vitória;Goiânia;1944.2 km;2664.5;2023-11-04;entregue;852.52
53;  Xisto Ferreira ;Palmas;Rio de Janeiro;1612.6;3361.6;Apr-2022;em trânsito ;6028.14
48;Ubiratan Melo;Maceió; Recife  ;2227.3;-488.6;Mar-2022;Em trânsito;7015.71
41;Dario Monteiro;Belo Horizonte; Curitiba  ;1718.1;566.2;07/03/2024;EM TRÂNSITO;6886.96
38;José Santos;Teresina;São Paulo;674.7;3028.2;2023-11-11;Entregue;7623.37
57;Celso Pinto;Palmas;Maceió;1567.6;3723.0;Jun-2023;Cancelada;
82;Laércio Ribeiro;Rio de Janeiro;Campo Grande;506.0;4306.3;11/02/2024;ENTREGUE;1666.65
58;Moacir Gomes;Maceió;Macapá;893.5;4892.5;2024-09-06;entregado;7048.79
86;Laércio Ribeiro;Porto Alegre;Salvador;102.1;1403.2;2024-08-18;CANCELADO;3624.46
78;Ivan Correia;Florianópolis;Belo Horizonte;1482.9;2866.6;2024-09-08;Em trânsito;3390.61
30;Jair Esteves;Campo Grande;Teresina;1512.5;1506.7;Jul-2024;Cancelada;999999
9;Moacir Gomes;Florianópolis;Porto Alegre;204.6;3408.4;10/01/2022;CANCELADO;
6;Tiago Rocha;Cuiabá; Goiânia  ;1747.9;3867.7;Jul-2022;Em Transito;408.45
21;Moacir Gomes;São Paulo;Belém;617.9;4522.3;2022-02-06;EM TRÂNSITO;
2;Marcos Lima;Maceió;Manaus;1224.8;3086.6;23/03/2023;Entregue ;487.68
16;Marcos Lima;Palmas;Recife;431.4;-343.5;2023-01-13;Cancelada;2414.83
80;Dario Monteiro;Belém;Teresina;954.9;-487.1;2022-11-19;entregue;6616.6
35;Wagner Dias;Teresina;Florianópolis;2080.2 km;1740.4;2023-11-23;Em Transito;286.52
75;Zeca Oliveira;Vitória;Florianópolis;234.7;2579.0;14/03/2023;Entregue;999999
70;Xisto Ferreira;Fortaleza;Natal;0;2316.6;Jun-2023;ENTREGUE;1535.24
45;Getúlio Leal;Manaus;Recife;821.8 km;1203.3;24/05/2023;cancelado;
24;Sandro Costa;Palmas;Rio de Janeiro;1283.3;2778.2;11/11/2022;Em trânsito;4076.08
63;Dario Monteiro;Macapá;Porto Alegre;1215.7;3243.6;2024-07-29;Em trânsito;7412.92
76;Benedito Silva;Cuiabá;Rio de Janeiro;1702.5;4680.8;Jun-2024;cancelado;3917.05
28;Tiago Rocha;Cuiabá;Natal;1511.3;3223.9;16/10/2023;entregüe;5040.36
10;Valmir Souza;Macapá;Curitiba;0;4883.7;20/07/2023;Entregue ;1208.86
100;Antônio Barros;Porto Alegre;São Paulo;2245.1;2688.1;04/02/2023;Cancelado;
34;Marcos Lima;Rio de Janeiro; Recife  ;145.5;1106.4;2023-02-28;Entregue;1593.64
66;Ubiratan Melo;Porto Alegre;São Paulo;;523.8;Aug-2022;cancelado;2544.22
42;Marcos Lima;Porto Alegre;Macapá;665.4;2815.4;Dec-2022;Entregue;6980.16
98;Laércio Ribeiro;Recife; Goiânia  ;2246.6;1051.6;Apr-2023;cancelado ;6348.27
88;Sandro Costa;Goiânia;São Paulo;;3449.0;Jun-2024;Entregue;2833.66
47;Sandro Costa;Palmas;Recife;575.9;2146.3;09/11/2024;em transito;3418.2
18;  Moacir Gomes ;Teresina;Porto Alegre;746.4;1749.6;Nov-2022;ENTREGUE;6331.69
20;Paulo Vieira;Vitória; Maceió  ;1814.9;1308.7;14/09/2023;Entregue;4520.66
29;Sandro Costa;Teresina;Palmas;967.2;4212.9;17/09/2024;Cancelada;1588.81
60;  Xisto Ferreira ;São Paulo;Goiânia;993.6;3358.7;2022-04-18;Em trânsito;6065.52
13;Ivan Correia;Belo Horizonte; Campo Grande  ;2205.3;1215.9;2024-11-05;Entregue ;3711.82
65;Haroldo Campos;Cuiabá;Manaus;1425.7 km;703.8;Nov-2024;entregüe;4366.23
39;  Kléber Moura ;Florianópolis;São Paulo;478.5;1801.1;Nov-2023;em transito;7682.46
14;Paulo Vieira;Florianópolis;Macapá;2394.5;4826.0;Dec-2023;ENTREGUE;657.35
67;  Edson Farias ;Vitória;Palmas;2199.4;3712.2;Jan-2022;entregue;3721.86
56;Getúlio Leal;Manaus;Belo Horizonte;1969.1;1052.3;Nov-2024;Entregue;5464.12
